"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg-Exp1_K-1-24_1-E,1_01_55195"	"neg-Exp1_K-25-48_1-E,3_01_55198"	"neg-Exp1_K-49-72_1-E,5_01_55201"	"neg-Exp1_K-73-96_1-E,7_01_55204"	"neg-Exp1_K-97-120_1-F,1_01_55207"	"neg_Exp2_K01_1-C,1_01_342"	"neg_Exp2_K02_1-C,5_01_347"	"neg_Exp2_K03_1-D,1_01_352"	"neg_Exp2_K04_1-D,5_01_358"	"neg-Exp1_P-1-24_1-E,2_01_55196"	"neg-Exp1_P-25-48_1-E,4_01_55199"	"neg-Exp1_P-49-72_1-E,6_01_55202"	"neg-Exp1_P-73-96_1-E,8_01_55205"	"neg-Exp1_P-97-120_1-F,2_01_55208"	"neg_Exp2_P1_1-C,2_01_343"	"neg_Exp2_P2_1-C,6_01_348"	"neg_Exp2_P3_1-D,2_01_353"	"neg_Exp2_P4_1-D,6_01_359"	"neg_Exp2_P5_1-E,1_01_364"
""	""	""	""	""	" 648.2906"	""	""	""	"174.93140"	""	""	""	""	""	""	""	""	""	""	""	"3.032600e+03"	"2.115349e+03"	"1.988581e+03"	"1.897609e+03"	"1.873349e+03"	"4.512158e+02"	"5.480344e+02"	"3.412070e+02"	"3.305339e+02"	"3.940981e+04"	"3.635498e+04"	"4.459110e+04"	"4.322285e+04"	"  38998.6827"	" 13340.68966"	" 12843.71610"	"3.396596e+03"	" 15698.20500"	"1.225663e+04"
""	""	""	""	""	" 649.2433"	""	""	""	"160.09508"	""	""	""	""	""	""	""	""	""	""	""	"4.189377e+03"	"3.632860e+03"	"3.534868e+03"	"3.799338e+03"	"3.756319e+03"	"1.270134e+03"	"1.380816e+03"	"1.435158e+03"	"1.420376e+03"	"2.884697e+04"	"2.790692e+04"	"2.848738e+04"	"3.120311e+04"	"  26265.3739"	"  7347.31971"	"  8476.91743"	"2.356197e+03"	"  9181.67280"	"6.926759e+03"
""	""	""	""	""	" 649.7842"	""	""	""	"259.28535"	""	""	""	""	""	""	""	""	""	""	""	"6.596005e+04"	"6.508638e+04"	"6.782770e+04"	"6.670084e+04"	"7.060177e+04"	"1.031749e+04"	"9.105308e+03"	"1.079550e+04"	"9.332890e+03"	"1.703709e+03"	"2.052962e+03"	"1.990618e+03"	"1.465920e+03"	"   2453.1949"	"   264.47917"	"   377.58836"	"2.315045e+02"	"   369.87062"	"3.118773e+02"
""	""	""	""	""	" 650.2555"	""	""	""	"420.19336"	""	""	""	""	""	""	""	""	""	""	""	"2.909665e+04"	"5.295381e+04"	"5.551280e+04"	"3.707522e+04"	"5.603245e+04"	"1.309245e+04"	"1.431085e+04"	"1.518621e+04"	"1.410058e+04"	"1.511846e+04"	"1.493935e+04"	"1.415860e+04"	"1.271347e+04"	"  11806.7950"	"  5773.94880"	"  5887.70640"	"1.138791e+04"	"  3490.63852"	"8.649693e+03"
""	""	""	""	""	" 650.2917"	""	""	""	"219.60176"	""	""	""	""	""	""	""	""	""	""	""	"1.207878e+04"	"2.006638e+04"	"1.487030e+04"	"1.075724e+04"	"1.759968e+04"	"1.865762e+03"	"1.769333e+03"	"1.979571e+03"	"1.571256e+03"	"3.724212e+04"	"2.861155e+04"	"3.375742e+04"	"2.383466e+04"	"  27935.7699"	"  4263.40818"	"  4907.74960"	"1.537442e+03"	"  6610.95120"	"5.089304e+03"
""	""	""	""	""	" 650.2857"	""	""	""	"259.25382"	""	""	""	""	""	""	""	""	""	""	""	"5.006558e+04"	"4.932460e+04"	"4.700886e+04"	"4.955715e+04"	"4.996631e+04"	"7.896565e+03"	"6.536952e+03"	"7.244396e+03"	"6.626446e+03"	"1.711023e+04"	"1.642404e+04"	"1.613051e+04"	"1.851811e+04"	"  17882.2777"	"  4823.32634"	"  5029.39688"	"2.024562e+03"	"  5757.50814"	"4.518052e+03"
""	""	""	""	""	" 650.3039"	""	""	""	"196.51790"	""	""	""	""	""	""	""	""	""	""	""	"2.351447e+03"	"1.577394e+03"	"1.799984e+03"	"9.925018e+02"	"1.819126e+03"	"2.024095e+02"	"1.483892e+02"	"2.257964e+02"	"2.141953e+02"	"2.551908e+04"	"3.445652e+04"	"2.851963e+04"	"1.813614e+04"	"  25116.6690"	"  1903.83732"	"  2111.42220"	"4.497434e+02"	"  4450.77960"	"3.597448e+03"
""	""	""	""	""	" 650.7873"	""	""	""	"259.36657"	""	""	""	""	""	""	""	""	""	""	""	"1.830696e+04"	"1.768759e+04"	"1.880985e+04"	"1.895896e+04"	"1.978805e+04"	"3.303588e+03"	"2.530552e+03"	"2.723148e+03"	"2.691300e+03"	"1.181643e+03"	"1.012706e+03"	"1.167344e+03"	"1.340222e+03"	"   1237.8846"	"   379.87614"	"   313.87866"	"2.027897e+02"	"   433.90593"	"3.819246e+02"
""	""	""	""	""	" 650.7896"	""	""	""	"346.17120"	""	""	""	""	""	""	""	""	""	""	""	"6.894202e+02"	"3.119972e+02"	"3.319352e+02"	"6.348326e+02"	"4.673635e+02"	"8.306640e+01"	"1.541232e+02"	"1.273894e+02"	"1.117560e+02"	"7.220225e+03"	"7.326478e+03"	"7.242684e+03"	"8.013436e+03"	"   6740.5478"	"   932.55203"	"   803.97600"	"3.418170e+02"	"  1522.56796"	"7.213771e+02"
""	""	""	""	""	" 651.2012"	""	""	""	"363.65778"	""	""	""	""	""	""	""	""	""	""	""	"1.599172e+04"	"2.661510e+04"	"3.654605e+04"	"2.153936e+04"	"3.605895e+04"	"2.493046e+03"	"3.214153e+03"	"4.337117e+03"	"2.744269e+03"	"0.000000e+00"	"0.000000e+00"	"2.153989e+02"	"3.177321e+02"	"    107.4831"	"   209.50080"	"   132.42431"	"4.686553e+02"	"   130.77120"	"4.534410e+02"
""	""	""	""	""	" 651.2617"	""	""	""	"420.32017"	""	""	""	""	""	""	""	""	""	""	""	"8.693028e+03"	"1.926971e+04"	"1.905564e+04"	"1.395810e+04"	"1.990271e+04"	"4.503588e+03"	"5.006692e+03"	"5.453007e+03"	"4.674578e+03"	"1.819309e+04"	"1.870258e+04"	"2.005280e+04"	"1.697678e+04"	"  15826.8271"	"  1335.61915"	"  5151.71551"	"3.969218e+03"	"  7305.65123"	"1.431000e+03"
""	""	""	""	""	" 652.2676"	""	""	""	"548.10033"	""	""	""	""	""	""	""	""	""	""	""	"5.050298e+03"	"6.735971e+03"	"7.115107e+03"	"6.024660e+03"	"5.926422e+03"	"9.885236e+02"	"1.181185e+03"	"1.152403e+03"	"1.292273e+03"	"2.809232e+03"	"1.701338e+03"	"8.721560e+02"	"2.918420e+02"	"   1406.1967"	"   435.52488"	"   444.89434"	"4.869100e+02"	"   489.28558"	"4.342847e+02"
