"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_Exp1-K1_2-C,1_01_7421.d"	"neg_Exp1-K2_2-C,3_01_7423.d"	"neg_Exp1-K3_2-C,5_01_7425.d"	"neg_Exp1-K4_2-C,7_01_7427.d"	"neg_Exp1-K5_2-D,1_01_7429.d"	"neg_Exp2-K1_2-E,1_01_7432.d"	"neg_Exp2-K2_2-E,3_01_7434.d"	"neg_Exp2-K2_2-E,3_01_7438.d"	"neg_Exp2-K3_2-E,5_01_7436.d"	"neg_Exp2-K3_2-E,5_01_7440.d"	"neg_Exp1-P1_2-C,2_01_7422.d"	"neg_Exp1-P2_2-C,4_01_7424.d"	"neg_Exp1-P3_2-C,6_01_7426.d"	"neg_Exp1-P4_2-C,8_01_7428.d"	"neg_Exp1-P5_2-D,2_01_7430.d"	"neg_Exp2-P1_2-E,2_01_7433.d"	"neg_Exp2-P2_2-E,4_01_7435.d"	"neg_Exp2-P3_2-E,6_01_7437.d"	"neg_Exp2-P4_2-E,7_01_7439.d"	"neg_Exp2-P5_2-E,8_01_7441.d"
""	""	""	""	""	" 464.14708"	""	""	""	" 282.38311"	""	""	""	""	""	""	""	""	""	""	""	"3.242779e+04"	"1.729122e+04"	"3.289739e+04"	"3.074738e+04"	"1.069303e+04"	"2.039698e+04"	"1.916267e+04"	"1.927194e+04"	"1.337272e+04"	"1.347909e+04"	"1.128960e+05"	"9.527912e+04"	"1.384365e+05"	"1.158390e+05"	"1.264526e+05"	"2.691856e+04"	"  57055.6255"	"3.485234e+04"	"1.081802e+03"	"5.203321e+04"
""	""	""	""	""	" 464.16719"	""	""	""	" 255.88807"	""	""	""	""	""	""	""	""	""	""	""	"4.022412e+02"	"2.480744e+02"	"2.537681e+02"	"2.344974e+02"	"7.269573e+01"	"1.460876e+02"	"1.877605e+02"	"1.450435e+02"	"7.403700e+01"	"1.206908e+02"	"2.553123e+03"	"8.910713e+02"	"2.866985e+03"	"8.020675e+02"	"2.247642e+03"	"4.589365e+02"	"    676.8744"	"1.602905e+03"	"1.288741e+03"	"2.035248e+03"
""	""	""	""	""	" 465.09238"	""	""	""	" 293.55618"	""	""	""	""	""	""	""	""	""	""	""	"1.121478e+04"	"6.577973e+03"	"7.813248e+03"	"9.160254e+03"	"1.587460e+03"	"5.524990e+03"	"5.870582e+03"	"5.848572e+03"	"5.139792e+03"	"4.934393e+03"	"3.631581e+04"	"2.348819e+04"	"2.653251e+04"	"1.795474e+04"	"1.802060e+04"	"1.945084e+04"	"  15791.8920"	"1.765145e+04"	"1.514352e+04"	"9.182880e+03"
""	""	""	""	""	" 465.14779"	""	""	""	" 282.20179"	""	""	""	""	""	""	""	""	""	""	""	"8.324216e+03"	"5.171423e+03"	"8.200066e+03"	"7.272090e+03"	"2.578708e+03"	"5.273460e+03"	"5.937029e+03"	"5.732409e+03"	"3.363104e+03"	"2.884175e+03"	"2.448105e+04"	"2.172360e+04"	"3.129171e+04"	"2.684614e+04"	"2.811443e+04"	"6.049817e+03"	"  13370.7291"	"7.974954e+03"	"1.322965e+04"	"1.208031e+04"
""	""	""	""	""	" 465.14266"	""	""	""	" 321.99089"	""	""	""	""	""	""	""	""	""	""	""	"1.501588e+04"	"1.282774e+04"	"7.372930e+03"	"8.221949e+03"	"1.402121e+03"	"1.054258e+04"	"9.679531e+03"	"9.886904e+03"	"3.434338e+03"	"2.972152e+03"	"2.706344e+03"	"1.049640e+03"	"1.639667e+03"	"3.152302e+03"	"2.582055e+03"	"2.538955e+03"	"   3309.5362"	"1.720860e+03"	"1.521336e+03"	"3.273440e+03"
""	""	""	""	""	" 465.18831"	""	""	""	" 396.59147"	""	""	""	""	""	""	""	""	""	""	""	"8.915126e+03"	"6.417874e+03"	"6.639346e+03"	"8.608530e+03"	"4.031575e+02"	"1.069134e+04"	"2.891012e+03"	"2.926215e+03"	"4.829684e+03"	"4.328358e+03"	"7.309796e+03"	"3.586465e+03"	"5.921647e+03"	"5.008169e+03"	"2.827745e+03"	"4.299883e+03"	"   5244.2871"	"3.086543e+03"	"2.787224e+03"	"1.173002e+03"
""	""	""	""	""	" 465.19523"	""	""	""	" 309.18697"	""	""	""	""	""	""	""	""	""	""	""	"8.021604e+02"	"5.094072e+02"	"8.923730e+02"	"8.133577e+02"	"5.034529e+02"	"8.806050e+02"	"6.480877e+02"	"9.323262e+02"	"7.770971e+02"	"5.700621e+02"	"6.620827e+02"	"4.188132e+02"	"8.301547e+02"	"7.255056e+02"	"6.184106e+02"	"6.737962e+02"	"    486.9976"	"7.119157e+02"	"5.443740e+02"	"4.839448e+02"
""	""	""	""	""	" 465.23256"	""	""	""	" 381.14304"	""	""	""	""	""	""	""	""	""	""	""	"2.976283e+04"	"5.835110e+03"	"5.593591e+03"	"7.121226e+03"	"3.598647e+03"	"5.164110e+03"	"6.434411e+03"	"6.395529e+03"	"4.195316e+03"	"4.176053e+03"	"3.447275e+04"	"3.019984e+04"	"5.751490e+04"	"7.370456e+03"	"4.363517e+04"	"1.335762e+04"	"  16340.4450"	"1.811615e+04"	"1.630244e+04"	"2.338895e+04"
""	""	""	""	""	" 465.22969"	""	""	""	" 317.19484"	""	""	""	""	""	""	""	""	""	""	""	"2.341538e+03"	"1.214347e+03"	"1.038790e+03"	"6.797021e+02"	"5.634460e+02"	"8.772628e+02"	"1.446143e+03"	"1.503301e+03"	"1.090944e+03"	"7.564846e+02"	"6.234075e+03"	"3.958797e+03"	"6.873587e+03"	"2.896288e+03"	"4.035153e+03"	"2.565128e+03"	"   2738.8817"	"2.663041e+03"	"3.212143e+03"	"4.505761e+03"
""	""	""	""	""	" 465.26202"	""	""	""	" 650.29356"	""	""	""	""	""	""	""	""	""	""	""	"1.587787e+03"	"2.617308e+03"	"2.337001e+03"	"2.232782e+03"	"1.267029e+02"	"3.147182e+03"	"1.698667e+03"	"1.308713e+03"	"2.509667e+03"	"2.379856e+03"	"2.015994e+04"	"3.984309e+04"	"4.709502e+04"	"2.200490e+04"	"3.668033e+04"	"1.538791e+04"	"  12794.0859"	"9.384078e+03"	"9.325997e+03"	"1.378268e+04"
