"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos-Exp1_K-1-24_1-E,1_01_55180"	"pos-Exp1_K-25-48_1-E,3_01_55183"	"pos-Exp1_K-49-72_1-E,5_01_55186"	"pos-Exp1_K-73-96_1-E,7_01_55189"	"pos-Exp1_K-97-120_1-F,1_01_55192"	"pos_Exp2_K01_1-C,1_01_365"	"pos_Exp2_K02_1-C,5_01_370"	"pos_Exp2_K03_1-D,1_01_375"	"pos_Exp2_K04_1-D,5_01_381"	"pos-Exp1_P-1-24_1-E,2_01_55181"	"pos-Exp1_P-25-48_1-E,4_01_55184"	"pos-Exp1_P-49-72_1-E,6_01_55187"	"pos-Exp1_P-73-96_1-E,8_01_55190"	"pos-Exp1_P-97-120_1-F,2_01_55193"	"pos_Exp2_P1_1-C,2_01_366"	"pos_Exp2_P2_1-C,6_01_371"	"pos_Exp2_P3_1-D,2_01_376"	"pos_Exp2_P4_1-D,6_01_382"	"pos_Exp2_P5_1-E,1_01_387"
""	""	""	""	""	" 132.1014"	""	""	""	"  44.74438"	""	""	""	""	""	""	""	""	""	""	""	"7.428442e+04"	"8.809998e+04"	"4.834629e+04"	"6.013236e+04"	"5.316933e+04"	"6.706369e+03"	"5.793289e+03"	"7.790623e+03"	"1.032209e+04"	"9.000587e+04"	"6.732485e+04"	"5.248319e+04"	"5.410397e+04"	"5.291068e+04"	"1.583959e+04"	"1.422575e+04"	"7.916795e+03"	"2.208158e+04"	"9.729763e+03"
""	""	""	""	""	" 133.0600"	""	""	""	"  33.08104"	""	""	""	""	""	""	""	""	""	""	""	"1.087383e+06"	"9.339904e+05"	"3.256883e+06"	"8.979001e+05"	"5.555818e+06"	"5.319694e+05"	"9.907178e+05"	"1.200575e+06"	"8.490697e+05"	"1.647200e+06"	"7.388759e+05"	"7.564993e+05"	"9.577418e+05"	"9.802540e+05"	"8.117206e+05"	"5.768342e+05"	"2.775670e+05"	"4.882072e+05"	"6.458009e+05"
""	""	""	""	""	" 133.0592"	""	""	""	"  56.96689"	""	""	""	""	""	""	""	""	""	""	""	"5.279856e+05"	"4.413588e+05"	"7.653293e+05"	"7.407504e+05"	"8.602331e+05"	"3.599431e+05"	"3.864862e+05"	"4.172390e+05"	"3.478710e+05"	"2.537415e+05"	"1.871043e+05"	"1.979667e+05"	"2.210905e+05"	"1.932180e+05"	"2.592742e+05"	"2.197019e+05"	"1.790112e+05"	"1.915563e+05"	"2.033703e+05"
""	""	""	""	""	" 133.0589"	""	""	""	"  72.19141"	""	""	""	""	""	""	""	""	""	""	""	"4.480246e+04"	"1.472234e+05"	"1.072180e+05"	"1.213347e+05"	"1.260243e+05"	"3.778101e+04"	"4.367853e+04"	"4.838039e+04"	"2.418763e+04"	"5.755704e+04"	"2.456165e+04"	"5.602010e+04"	"5.767405e+04"	"5.279030e+04"	"2.663577e+04"	"1.438130e+04"	"2.378057e+04"	"2.918559e+04"	"2.537368e+04"
""	""	""	""	""	" 133.5604"	""	""	""	"  32.46303"	""	""	""	""	""	""	""	""	""	""	""	"1.960026e+06"	"1.687997e+06"	"1.468635e+06"	"1.536210e+06"	"1.577415e+06"	"8.986806e+04"	"1.350866e+05"	"1.057206e+05"	"1.330206e+05"	"2.599958e+05"	"1.145911e+05"	"1.161240e+05"	"1.478491e+05"	"1.522706e+05"	"1.228041e+05"	"8.197773e+04"	"6.765911e+04"	"7.414825e+04"	"9.462836e+04"
""	""	""	""	""	" 134.0578"	""	""	""	"  29.39460"	""	""	""	""	""	""	""	""	""	""	""	"8.038585e+05"	"6.950138e+05"	"5.887520e+05"	"6.220247e+05"	"6.058575e+05"	"6.697638e+04"	"5.250444e+04"	"7.356085e+04"	"5.748744e+04"	"3.386557e+04"	"6.950822e+04"	"1.407355e+03"	"8.312735e+04"	"6.453021e+04"	"4.952672e+04"	"6.922735e+04"	"3.206747e+04"	"1.913451e+04"	"5.105459e+04"
""	""	""	""	""	" 135.1008"	""	""	""	" 133.75151"	""	""	""	""	""	""	""	""	""	""	""	"9.360318e+03"	"8.097218e+03"	"1.616262e+04"	"2.341672e+04"	"1.651606e+04"	"5.042629e+03"	"1.589952e+04"	"1.561883e+04"	"1.693474e+04"	"2.265305e+04"	"2.392501e+04"	"3.195560e+04"	"3.238046e+04"	"2.055740e+04"	"6.975931e+03"	"8.307038e+03"	"1.641349e+04"	"1.324664e+04"	"1.204036e+04"
""	""	""	""	""	" 135.1158"	""	""	""	" 314.00627"	""	""	""	""	""	""	""	""	""	""	""	"1.151038e+03"	"5.622124e+02"	"5.446800e+02"	"1.179968e+03"	"5.527691e+02"	"1.905370e+02"	"2.882822e+02"	"2.036058e+02"	"2.272225e+02"	"1.428467e+04"	"1.341350e+04"	"1.404659e+04"	"1.163962e+04"	"8.808448e+03"	"3.269495e+03"	"2.980509e+03"	"5.648065e+02"	"4.748279e+03"	"1.812596e+03"
""	""	""	""	""	" 136.0609"	""	""	""	"  36.35573"	""	""	""	""	""	""	""	""	""	""	""	"1.426894e+04"	"2.736030e+04"	"1.687158e+04"	"3.800662e+03"	"2.470348e+04"	"2.269592e+03"	"3.720581e+03"	"4.268539e+03"	"4.005334e+03"	"3.941417e+03"	"3.889389e+03"	"2.988584e+03"	"4.294916e+03"	"3.584641e+03"	"1.521625e+03"	"1.242237e+03"	"9.409454e+02"	"1.072735e+03"	"4.588725e+02"
""	""	""	""	""	" 137.0597"	""	""	""	" 341.15780"	""	""	""	""	""	""	""	""	""	""	""	"1.813799e+03"	"2.945853e+03"	"4.327288e+03"	"6.426163e+03"	"7.801515e+03"	"1.200721e+03"	"9.758850e+02"	"1.660799e+03"	"1.591948e+03"	"1.656692e+03"	"1.386841e+03"	"1.280482e+03"	"2.241060e+03"	"1.501057e+03"	"7.209859e+02"	"7.049359e+02"	"4.584580e+02"	"6.709380e+02"	"7.396694e+02"
""	""	""	""	""	" 137.1314"	""	""	""	" 537.02736"	""	""	""	""	""	""	""	""	""	""	""	"9.137999e+02"	"4.107973e+02"	"3.842622e+02"	"7.567845e+02"	"4.003419e+02"	"1.244686e+02"	"1.004425e+02"	"1.455228e+02"	"1.354903e+02"	"1.347482e+04"	"1.328689e+04"	"1.306761e+04"	"1.045550e+04"	"7.964483e+03"	"1.638044e+03"	"2.035241e+03"	"4.679013e+02"	"4.611165e+03"	"1.506881e+03"
