"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_Exp1-K1_2-C,1_01_7443.d"	"pos_Exp1-K2_2-C,3_01_7445.d"	"pos_Exp1-K3_2-C,5_01_7447.d"	"pos_Exp1-K4_2-C,7_01_7449.d"	"pos_Exp1-K5_2-D,1_01_7451.d"	"pos_Exp2-K1_2-E,1_01_7454.d"	"pos_Exp2-K2_2-E,3_01_7456.d"	"pos_Exp2-K2_2-E,3_01_7460.d"	"pos_Exp2-K3_2-E,5_01_7458.d"	"pos_Exp2-K3_2-E,5_01_7462.d"	"pos_Exp1-P1_2-C,2_01_7444.d"	"pos_Exp1-P2_2-C,4_01_7446.d"	"pos_Exp1-P3_2-C,6_01_7448.d"	"pos_Exp1-P4_2-C,8_01_7450.d"	"pos_Exp1-P5_2-D,2_01_7452.d"	"pos_Exp2-P1_2-E,2_01_7455.d"	"pos_Exp2-P2_2-E,4_01_7457.d"	"pos_Exp2-P3_2-E,6_01_7459.d"	"pos_Exp2-P4_2-E,7_01_7461.d"	"pos_Exp2-P5_2-E,8_01_7463.d"
""	""	""	""	""	" 143.0341"	""	""	""	"  71.297780"	""	""	""	""	""	""	""	""	""	""	""	"8.111470e+03"	"7.349612e+03"	"6.903996e+03"	"8.239363e+03"	"4.487702e+03"	"1.196972e+04"	"1.377578e+04"	"1.450522e+04"	"1.153214e+04"	"1.098860e+04"	"1.978626e+03"	"1.502464e+03"	"1.796415e+03"	"1.558456e+03"	"1.359933e+03"	"6.375622e+03"	"5.891672e+03"	"3.996737e+03"	"5.606326e+03"	"3.169534e+03"
""	""	""	""	""	" 144.0479"	""	""	""	"  63.183845"	""	""	""	""	""	""	""	""	""	""	""	"2.599448e+04"	"3.196642e+04"	"2.837792e+04"	"3.393155e+04"	"7.935148e+03"	"2.182498e+04"	"2.414497e+04"	"2.299564e+04"	"1.657783e+04"	"1.987405e+04"	"6.800670e+05"	"4.286189e+05"	"5.303532e+05"	"1.061559e+05"	"4.196410e+05"	"8.213381e+05"	"1.000159e+06"	"6.575753e+05"	"7.591198e+05"	"6.428949e+05"
""	""	""	""	""	" 145.0525"	""	""	""	" 493.001427"	""	""	""	""	""	""	""	""	""	""	""	"1.296136e+04"	"6.253347e+03"	"9.145484e+03"	"9.219168e+03"	"6.524285e+03"	"5.547799e+03"	"6.226644e+03"	"5.916002e+03"	"1.804498e+03"	"2.978642e+03"	"2.510824e+03"	"1.030176e+03"	"2.417191e+03"	"4.823653e+03"	"3.068574e+03"	"2.912662e+03"	"5.472052e+03"	"1.865740e+03"	"2.044866e+03"	"3.506568e+03"
""	""	""	""	""	" 145.0508"	""	""	""	"  63.196620"	""	""	""	""	""	""	""	""	""	""	""	"5.959895e+03"	"5.808020e+03"	"5.914728e+03"	"6.557419e+03"	"2.658232e+03"	"5.364143e+03"	"6.546076e+03"	"6.513494e+03"	"5.100141e+03"	"4.552123e+03"	"6.094759e+04"	"3.942277e+04"	"4.854016e+04"	"1.519830e+04"	"4.165952e+04"	"6.557337e+04"	"8.107661e+04"	"5.317306e+04"	"6.221903e+04"	"5.132698e+04"
""	""	""	""	""	" 146.0476"	""	""	""	"  63.509966"	""	""	""	""	""	""	""	""	""	""	""	"1.030493e+04"	"8.509261e+01"	"7.396132e+03"	"7.411384e+03"	"3.587609e+03"	"6.739586e+02"	"6.256001e+03"	"1.845110e+03"	"5.900709e+03"	"6.472852e+01"	"3.017123e+04"	"1.740570e+04"	"2.434990e+04"	"4.282423e+03"	"1.901990e+04"	"4.258110e+04"	"4.952007e+04"	"3.045114e+04"	"3.286823e+04"	"3.169385e+04"
""	""	""	""	""	" 146.0588"	""	""	""	" 493.343931"	""	""	""	""	""	""	""	""	""	""	""	"5.696674e+03"	"3.287537e+03"	"4.859121e+03"	"4.297435e+03"	"3.823477e+03"	"2.900024e+03"	"3.645484e+03"	"3.219685e+03"	"1.600672e+03"	"1.668855e+03"	"1.681607e+03"	"1.150759e+03"	"1.261999e+03"	"2.283941e+03"	"1.127902e+03"	"1.915347e+03"	"3.175368e+03"	"9.869431e+02"	"1.530488e+03"	"2.204095e+03"
""	""	""	""	""	" 146.5393"	""	""	""	" 216.619050"	""	""	""	""	""	""	""	""	""	""	""	"3.816349e+03"	"2.512460e+03"	"2.804110e+03"	"2.982384e+03"	"9.337725e+02"	"2.281716e+03"	"2.740267e+03"	"2.562442e+03"	"2.285416e+03"	"2.320294e+03"	"2.061510e+03"	"1.014600e+03"	"1.477476e+03"	"1.626259e+03"	"8.862756e+02"	"1.407458e+03"	"1.745171e+03"	"1.191490e+03"	"1.589509e+03"	"1.087245e+03"
""	""	""	""	""	" 147.0441"	""	""	""	" 282.549956"	""	""	""	""	""	""	""	""	""	""	""	"2.293395e+03"	"1.752926e+03"	"1.811611e+03"	"1.988076e+03"	"6.197319e+02"	"1.572169e+03"	"1.326385e+03"	"1.456058e+03"	"9.292279e+02"	"9.568396e+02"	"9.084260e+03"	"6.338734e+03"	"9.239342e+03"	"7.930198e+03"	"8.203856e+03"	"1.784101e+03"	"4.824364e+03"	"2.671469e+03"	"3.625317e+03"	"3.777019e+03"
""	""	""	""	""	" 147.0770"	""	""	""	"  28.376006"	""	""	""	""	""	""	""	""	""	""	""	"2.734577e+04"	"1.992452e+04"	"2.632749e+04"	"2.200551e+04"	"2.390955e+04"	"1.939784e+04"	"1.930893e+04"	"1.835145e+04"	"1.704910e+04"	"1.666872e+04"	"5.537055e+04"	"7.506532e+04"	"6.455419e+04"	"5.988068e+04"	"8.236841e+04"	"2.658999e+04"	"4.654700e+04"	"5.002631e+04"	"5.173013e+04"	"5.079942e+04"
""	""	""	""	""	" 148.0476"	""	""	""	" 485.359284"	""	""	""	""	""	""	""	""	""	""	""	"3.812144e+03"	"2.731334e+03"	"5.024573e+03"	"4.735583e+03"	"1.979606e+03"	"3.941998e+03"	"4.063997e+03"	"3.906182e+03"	"3.386809e+03"	"3.339753e+03"	"2.684733e+03"	"3.129168e+03"	"2.736521e+03"	"4.785158e+03"	"5.488815e+03"	"5.321323e+03"	"6.552253e+03"	"4.714071e+03"	"6.916193e+03"	"7.587065e+03"
""	""	""	""	""	" 149.0420"	""	""	""	" 216.496248"	""	""	""	""	""	""	""	""	""	""	""	"1.051627e+04"	"8.860072e+03"	"9.051357e+03"	"9.439687e+03"	"4.848224e+03"	"8.235015e+03"	"8.227809e+03"	"8.640940e+03"	"5.085334e+03"	"5.547127e+03"	"6.484910e+03"	"3.709207e+03"	"4.746182e+03"	"5.161952e+03"	"4.600704e+03"	"4.483925e+03"	"5.496727e+03"	"3.635539e+03"	"4.723847e+03"	"3.984570e+03"
""	""	""	""	""	" 149.9526"	""	""	""	"  20.937996"	""	""	""	""	""	""	""	""	""	""	""	"2.000660e+03"	"1.611371e+03"	"1.772854e+03"	"2.253710e+03"	"1.833400e+03"	"1.877628e+03"	"3.018860e+03"	"2.923127e+03"	"1.411049e+03"	"1.802107e+03"	"3.493824e+03"	"2.438780e+03"	"2.831770e+03"	"1.993154e+03"	"2.167709e+03"	"3.901226e+03"	"3.806085e+03"	"3.064492e+03"	"3.293773e+03"	"3.043064e+03"
""	""	""	""	""	" 150.0585"	""	""	""	" 324.875371"	""	""	""	""	""	""	""	""	""	""	""	"2.679334e+03"	"2.237569e+03"	"2.843495e+03"	"2.149661e+03"	"1.065410e+03"	"2.060470e+03"	"3.923017e+03"	"2.872778e+03"	"2.114542e+03"	"1.742726e+03"	"5.488843e+03"	"5.026741e+03"	"4.472909e+03"	"6.983319e+03"	"5.694442e+03"	"6.028455e+03"	"6.563430e+03"	"7.416704e+03"	"9.426505e+03"	"1.085593e+04"
""	""	""	""	""	" 150.0579"	""	""	""	" 216.600007"	""	""	""	""	""	""	""	""	""	""	""	"5.553773e+03"	"3.667439e+03"	"5.129535e+03"	"4.470836e+03"	"2.548752e+03"	"3.914466e+03"	"4.135285e+03"	"4.029459e+03"	"3.755335e+03"	"3.472627e+03"	"2.702100e+03"	"1.769993e+03"	"2.952750e+03"	"2.506618e+03"	"2.258990e+03"	"2.615633e+03"	"2.796902e+03"	"1.997554e+03"	"2.403761e+03"	"1.773765e+03"
