PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Activity Summary^STRING^^^^,2^Ratio Activity^STRING^^^^,3^Ratio Potency (uM)^FLOAT^uM^AC^^,4^Ratio Efficacy (%)^FLOAT^%^^^,5^530 nm Activity^STRING^^^^,6^530 nm Potency (uM)^FLOAT^uM^^^,7^530 nm Efficacy (%)^FLOAT^%^^^,8^460 nm Activity^STRING^^^^,9^460 nm Potency (uM)^FLOAT^uM^^^,10^460 nm Efficacy (%)^FLOAT^%^^^,11^Blue (460 nm) auto fluorescence outcome^STRING^^^^,12^Sample Source^STRING^^^^
144213038,6532,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,0,inactive,,0,inactive,LightBiologicals
144213039,17739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213040,18340,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213041,14489,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144213042,71412,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213043,7695,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213044,163263,Inactive,0,,,inactive,inactive,,0,active antagonist,61.6448,-21.8976,inactive,,0,inactive,SIGMA
144213045,7016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
144213046,11579,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213047,10005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213048,802,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213049,5284351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213050,23392,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213051,7103,Active,43,,,active agonist,active agonist,47.1342,75.3018,inconclusive,,0,active agonist,43.6465,90.5372,inactive,SIGMA
144213052,1989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213053,6901,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213054,638034,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,54.9477,22.0209,inactive,,0,inactive,SIGMA
144213055,8691,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,46.2327,-29.3448,inactive,,0,inactive,SIGMA
144213056,5284419,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213057,10541,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213058,3598,Inconclusive,5,,,inconclusive,active agonist,57.1044,47.2167,active antagonist,57.0974,-66.2483,inactive,,0,inactive,LightBiologicals
144213059,6635,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213060,16724,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213061,57363,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,13.5294,inactive,,0,inactive,SIGMA
144213062,660,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213063,638024,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213064,11957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
144213065,24730,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213066,12967,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213067,7967,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213068,12161,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213069,5280793,Inactive,0,,,inactive,inactive,,0,inconclusive,,0,inactive,,0,inactive,LightBiologicals
144213070,16560,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,13.2012,inactive,,0,inactive,Crescent
144213071,4421,Inactive,0,,,inactive,inactive,,0,active agonist,,13.4213,inactive,,0,inactive,SIGMA
144213072,7255,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213073,54677470,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,41.1999,22.3364,inactive,,0,inactive,Enamine
144213074,7206,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,LightBiologicals
144213075,6947,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213076,6849,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213077,2723770,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
144213078,5881,Active,67,,,active agonist,active agonist,1.09649,125.812,active antagonist,0.838075,-31.6584,active agonist,1.23013,142.774,inactive,SIGMA
144213079,10850,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213080,4781,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213081,122903,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213082,446155,Inactive,0,,,inactive,inactive,,0,active agonist,,14.9805,inactive,,0,inactive,Enamine
144213083,8305,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213084,2723790,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213085,7005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,12.0522,inactive,SIGMA
144213086,2761171,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213087,11831,Inactive,0,,,inactive,inactive,,0,active agonist,21.8724,34.7832,inactive,,0,inactive,SIGMA
144213088,1046,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213089,12484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213090,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213091,6374,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213092,3690,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213093,936,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213094,7583,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213095,5362,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213096,8130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213097,6478,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,12.8259,inactive,,0,inactive,LightBiologicals
144213098,11005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213099,9016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213100,15106,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
144213101,3463,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,15.7511,inactive,,0,inactive,SIGMA
144213102,12679,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213103,7173,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,LightBiologicals
144213104,31374,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213105,3613389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213106,2727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213107,8400,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213108,9903,Inconclusive,5,,,inconclusive,active agonist,,12.0387,active antagonist,61.6524,-32.0454,inactive,,0,inactive,SIGMA
144213109,66666,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213110,107377,Active,42,,,active agonist,active agonist,52.8854,42.4217,inconclusive antagonist,,-17.0481,active agonist,48.9722,50.5639,inactive,Sigma DiscoveryCPR
144213111,4173,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213112,5505,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213113,7418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213114,325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
