Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	NEG_Pool_All_01 	NEG_Pool_All_02 	NEG_Pool_All_03 	NEG_Pool_All_04 	NEG_SF-100109-114720 	NEG_SF-100109-121711 	NEG_SF-100109-124896 	NEG_SF-100109-124904 	NEG_SF-100109-130034 	NEG_SF-100109-169058 	NEG_SF-100109-199550 	NEG_SF-100109-231142 	NEG_SF-100109-244079 	NEG_SF-100109-227718 	NEG_SF-120831-00062 	NEG_SF-100109-255622 	NEG_SF-100109-239012 	NEG_SF-100109-259700 	NEG_SF-100109-142930 	NEG_SF-100109-146730 	NEG_SF-100109-199546 	NEG_SF-100109-225118 	NEG_SF-100109-252159 	NEG_SF-110121-00073 	NEG_SF-110908-00016 
385.1895095		13.88_385.1895m/z	13.87953333				336.7902967	406.913348	376.8439234	398.9365633	59.58053073	512.0208455	204.9170611	537.1253108	143.1660909	392.0569117	375.6497583	294.4423779	371.6897665	881.3453322	503.914974	477.2530455	319.3357914	401.0061392	17.21690352	409.9564259	348.6268076	629.0953685	380.041425	164.7644645	614.6572623
542.0447539		1.28_542.0448m/z	1.276733333				308.5754594	323.4374399	312.1819454	316.9846664	423.8283082	446.2132879	564.7321842	175.7487673	258.6370685	493.2470621	280.1425162	325.0926082	284.1525153	401.6056299	323.6768771	320.2152679	426.991187	516.0969856	346.8481402	264.6414993	363.4150895	533.5648084	476.1248644	556.4935047	413.7595643
953.950186		6.84_953.9502m/z	6.83715				3540.222011	3675.70068	3667.401284	3497.039581	1265.101343	2529.299177	1460.394505	7319.643324	2088.685172	3504.640557	7535.900116	3899.672724	6955.222113	3736.979235	4775.803079	4494.726702	3143.102181	5803.052439	957.8503302	4176.344453	6467.735353	4371.111485	6561.184676	2541.452513	3283.333014
695.1923427		0.78_695.1923m/z	0.783566667				703.6153426	690.253416	717.0203697	630.1898544	918.7578978	1462.912852	226.8236631	914.260967	1069.324309	303.7912527	565.9771142	234.9924024	434.5900185	245.7363171	966.8646304	603.6304434	707.7725832	201.1103389	84.74545602	900.8082136	803.0145323	374.4211462	1169.917457	314.1375466	649.4177415
130.0487183		1.92_130.0487m/z	1.92205				120.6408728	128.5818462	108.4224954	122.1768443	135.4604391	151.2074262	200.2124543	167.4926029	168.0784617	174.6871856	103.2408612	88.41881718	117.0741106	209.4726634	242.1000919	134.3230951	159.970213	182.6944394	189.5965476	77.93210108	265.7094573	290.6297913	253.5546337	146.5014302	88.23036882
549.2621357		4.68_549.2621m/z	4.678333333				557.9723447	551.9472028	527.9473368	593.0604861	874.3376714	469.3941872	808.6648405	694.9713019	1205.513264	711.7276507	660.0070574	847.8078814	728.1244585	289.455648	612.3955882	519.7923015	513.0916749	614.363308	666.8744137	887.5399537	836.0396214	753.8722219	468.2487671	166.3415117	891.4608946
955.4295781		6.04_955.4296m/z	6.039466667				1881.448453	1888.098366	1853.688446	1736.035202	2120.167805	1564.775569	2209.183297	2590.774398	2303.515954	1313.309514	1878.549678	3680.870683	3425.401203	711.1011912	2995.117514	1907.922891	1446.965894	3473.179141	2093.250102	2627.2882	2006.306512	2603.564335	793.5710179	594.0914245	1401.147986
923.9557402		6.09_923.9557m/z	6.090183333				988.2270168	900.9410233	903.5189567	954.0191361	783.3658296	3988.361408	405.9491542	362.2048567	341.5521599	770.4034491	208.1729094	1263.124116	478.0883827	1325.804998	828.615883	575.1391445	877.0960863	1137.040529	2817.737587	1246.756642	3180.794566	1404.235372	267.8227161	324.7705074	1113.406738
886.9110563		7.41_886.9111m/z	7.414833333				1186.05962	1345.590331	1168.529687	1196.801834	1531.30488	1168.084458	862.1255691	1667.773891	1868.593332	1402.845967	1836.194844	1370.457107	1800.224937	1123.313198	1989.100959	1397.914119	1019.163434	1510.022019	1488.290153	1596.515309	1288.188505	664.4247849	1765.952195	517.2773296	1471.274973
267.5169333		2.69_267.5169m/z	2.688783333				319.4866028	290.368739	287.7082183	273.2333821	182.7480036	353.1717008	65.72584388	165.655879	423.3381863	267.6412947	564.9232107	431.4764883	478.5363164	542.9508173	719.8890112	57.96406217	358.9715047	744.8902931	441.0484129	100.46656	943.5854533	82.46360187	282.8276759	172.4893911	139.3937267
153.0293313		1.07_153.0293m/z	1.07385				654.427192	641.7485368	681.5920266	652.5340713	1140.377518	752.8665614	918.8996803	474.4563774	573.8203811	1199.170583	665.2200933	994.2659608	508.3470258	1091.511956	711.6667285	707.5931743	937.8909575	828.2452157	704.6626048	570.7862818	836.0324242	831.4963331	958.667966	923.5075983	1121.257251
444.18827		5.75_444.1883m/z	5.749183333				223.6953265	219.7806481	197.5335212	221.8967426	332.0332357	154.5157984	144.2066802	306.1979572	408.2843313	218.7821024	746.6630986	104.6868352	202.0449837	0	299.6064935	373.9561217	432.4631614	217.160686	152.5924264	324.3516767	244.7817417	143.0947189	130.5747157	52.53781214	113.6035744
572.1149536		3.61_572.1150m/z	3.607466667				13779.22377	13840.99544	14305.45867	13985.44462	21138.49527	7051.465203	6706.318722	21916.70373	2796.916287	9603.584933	6746.36322	8740.360273	17221.39254	30275.53485	4342.766164	17134.96176	24187.40335	9561.910019	1671.670318	20156.90407	15668.64385	100482.211	11507.24066	23547.96631	27385.98567
731.7584222		13.59_731.7584m/z	13.58925				1396.690137	1257.049459	1354.114253	1279.940068	676.2992256	1424.282644	943.2403777	481.8771166	861.4457119	4295.625062	2558.997766	936.0931001	1007.110631	1304.47948	3248.438886	1349.891266	2120.551556	1816.637047	896.5529851	556.711881	1425.381852	1429.040009	1375.12353	1078.22444	818.7716905
630.5847487		3.27_630.5847m/z	3.266466667				782.4108295	952.5940837	912.9544972	856.2790207	179.833301	233.1663755	417.3092043	904.1520399	157.0846396	385.6919166	405.8184264	1127.010037	1943.808389	1491.088327	528.986583	1046.772188	1451.590377	1372.242862	0	1153.115643	1507.866118	4538.283434	746.9207208	2279.487588	1805.572385
562.033806		1.58_562.0338m/z	1.583916667				2712.232729	2740.521362	2808.506111	3273.733336	3416.583836	6502.55328	1476.384049	385.1592915	1677.736463	5752.848446	12563.44428	808.5385475	2097.543554	1805.39325	641.2968777	5722.888045	748.37024	2546.650182	3062.647468	1524.673845	990.8279219	2188.930642	15732.86276	2044.827477	3042.207262
448.3051293		13.81_448.3051m/z	13.80903333				909.6067337	958.25626	896.7000986	974.0384302	207.7532654	243.1277936	1638.412108	111.523591	964.3527891	779.2919638	527.56502	1553.359018	152.7559165	776.0570525	474.4149339	1067.762019	2813.67554	0	350.7681679	4964.964705	1152.746116	2308.707	381.357323	471.5485491	819.5777986
690.304897		6.12_690.3049m/z	6.124				739.7337003	712.879259	661.3380722	612.4235831	913.3124726	923.6444941	634.4976298	882.8991972	1078.340276	417.4127123	569.6790486	912.7310345	891.1263403	286.4382201	2429.697087	525.5381444	732.2829197	1085.876246	857.4901602	877.6656637	719.7933871	475.5044603	156.7349625	670.8459001	579.8933979
894.9863346		7.65_894.9863m/z	7.6544				961.038661	929.308927	923.0769347	944.1749972	221.0611047	2151.362043	190.6891614	643.8675515	444.5468035	3972.619527	2423.52932	87.40623458	958.7915947	169.6839395	224.663918	438.3470676	676.6211366	214.6670029	91.3205411	1001.44048	1205.422386	1182.870316	0	2069.763204	1490.259719
291.0282573		2.98_291.0283m/z	2.976183333				235.8381522	232.3540455	252.2802259	246.5756626	177.0924324	396.2078275	105.164919	154.9730605	276.7095425	330.4848775	107.7237525	123.045112	231.7877004	419.0717505	220.9767139	160.6424835	200.9552752	420.6039305	74.75299699	399.2868013	560.5275343	539.3186071	247.4443524	197.8234039	503.6193542
113.023451		7.14_113.0235m/z	7.144333333				126.2662433	124.996664	126.4909744	133.328278	200.2917745	90.86604573	170.4903257	88.61942488	195.6112118	157.8423656	113.953023	0	146.8772297	364.3639716	79.13958757	183.5871653	107.1636291	83.79506338	191.5152848	206.6678373	62.63284487	143.1279821	94.95163742	219.3958918	150.7531156
369.1544705		7.13_369.1545m/z	7.127433333				1990.462957	2094.327594	2016.103138	2067.652301	3422.009806	1288.670629	2813.896417	1295.687967	3670.687567	2493.445435	1703.131462	2.743788795	2494.02365	6331.209107	1147.165692	3565.473805	1644.77718	1246.2911	3399.852333	3577.996279	1005.365621	2693.429776	1463.239835	3425.415665	2378.590409
526.2921583		14.42_526.2922m/z	14.42341667				324.3743598	309.5686466	288.2469226	245.2817346	125.8805961	371.0661239	628.0309973	252.5982345	248.4585912	320.7920368	362.1954438	1377.032718	483.1626729	817.9219325	703.7072263	609.6047359	281.7457036	329.2602796	0	379.330271	465.3341888	706.8026935	479.675981	284.8692691	834.4108979
641.1301406		1.84_641.1301m/z	1.837516667				1397.363131	1380.721531	1428.90505	1382.18435	531.3478153	1899.291635	514.9663777	1103.450509	1177.56844	1249.801453	1915.082126	2623.367124	1700.892448	570.9295671	1107.192645	602.208085	419.2065481	5068.68936	359.5700289	1166.676151	5126.780742	1975.738446	5304.227556	951.5340992	4461.960926
377.084299		0.72_377.0843m/z	0.71595				5530.792184	5460.977983	5462.432098	5988.363813	4546.097139	8339.073394	6118.26905	10236.735	5964.090742	5311.516199	2186.878554	4464.588843	4540.721555	4636.974942	15819.89708	7295.936282	6114.62832	3025.830895	2710.518853	3924.177694	4111.435521	3139.064517	11390.46971	1584.196546	6850.50122
690.8084126		6.12_690.8084m/z	6.124				601.4241028	604.6598246	589.839713	628.6971571	885.4120401	939.4686576	855.1082246	768.6472379	972.8293214	462.7909681	409.9747928	542.4069237	668.6094538	537.9109396	1535.337108	487.1848767	550.3435282	786.8965663	777.8963239	692.0613802	600.481695	343.2125297	425.794927	716.4011361	559.4262614
407.2785544		13.67_407.2786m/z	13.67378333				442.7453818	472.0118757	421.4479265	480.9876355	156.5642261	32.01306315	2448.007317	13.64555377	225.048054	967.8277386	5.320931375	133.715119	5.898426921	132.7159625	5.190539539	4107.39769	338.3732444	197.2525482	457.3612633	15.71955223	24.17388986	236.4216418	793.8103875	177.8173774	0
824.0592051		6.14_824.0592m/z	6.140916667				777.5976727	746.1693989	759.7464321	793.0441239	0	60.17535813	1670.901486	931.4363101	1510.233503	2300.108888	0	0.427855891	157.0505327	7435.304574	0	3336.796602	0	3386.066701	0.448758072	844.0459132	0	1565.636076	706.0721155	3.533812733	11.31215882
845.2613242		0.77_845.2613m/z	0.766666667				288.6903123	219.5687647	270.8528451	279.8035479	161.9415672	555.9768544	154.4279279	607.3676552	267.0577122	157.0042441	114.8872761	193.3421437	238.9444666	395.4057657	1138.310096	230.7931643	259.2586995	200.1192661	18.55612115	279.4973472	313.0769843	85.76532563	1038.569154	79.49901234	240.1456607
590.5948546		3.47_590.5949m/z	3.46935				1061.386136	1039.55495	1131.781998	1111.113966	435.9242582	448.6693174	378.8425363	950.9564969	65.44013888	612.3676721	380.4650902	1037.949581	2549.850095	2237.465731	612.3955605	1364.844169	1465.907141	1683.696314	0	2017.979317	1171.227852	5999.257053	1207.0527	2656.328007	2120.646006
