Metabolite name	Local ID	Units	S00008979	S00008980	S00008981	S00008982	S00008983	S00008984	S00008985	S00008986	S00008987	S00008988	S00008989	S00008990	S00008991	S00008992	S00008993	S00008994	S00008995	S00008996	S00008997	S00008998	S00008999	S00009000	S00009001	S00009002	S00009003	S00009004	S00009005	S00009006	S00009007	S00009008
UNKNOWN 08171 BP *242.20655*, RT 2.69464	758485	Counts	1781232	2820168	972020	840893	1505959	829927	416091	3197140	1943780	925218	494370	937014	1495703	354923	555737	426957	391700	317866	527566		1105188			256723	644615				14992	
UNKNOWN 08172 BP *202.10652*, RT 2.66748	758486	Counts				31680		24923				30855	27688			44235	26247		14245				43769		7532	24210			54262			22576
UNKNOWN 08177 BP *157.08317*, RT 2.70786	758491	Counts	318260	325380	317858	325373	223447	337587	256552	511928	340329	355463	390624	300376	463550	363323	473237	272440	391905	408784	488733	537832	637969	434626	141210	470989	571268	290506	459046	432412	166358	338008
UNKNOWN 08181 BP *176.07335*, RT 2.71126	758495	Counts	153224	100643	90246	101724	84537	103091	92043	162268	102128	87185	117349	65209	120452	93040	124392	128082	123520	91452	102468	170292	117130	127532	87075	120173	7236	73568	97026	117833	74007	89438
UNKNOWN 08189 BP *187.09414*, RT 2.74918	758503	Counts	176431	182643	124893	305557	135184	198255	89175	243553	282735	286103	168836	359574	351319	397145	182572	136406	203182	264356	224206	422144	371017	266875	206011	307305	535119	140473	247624	210617	170008	155731
UNKNOWN 08196 BP *179.06744*, RT 2.76848	758510	Counts		11216	12531	23327	9337			25860	19835	12205	17080		31890	22278	18283	13816	18157			27191	23652	5140		26937	23366	19744	11630	19182	14538	30500
UNKNOWN 08199 BP *312.23826*, RT 2.77593	758513	Counts	64873	45561	15852	31259	35569	42680	28399	62444		25796	16905	30493	46564	34744	32074	39459	34927	35833	27874	41455	29832	51893	14534	39355	35572		8406	31179	19232	41229
UNKNOWN 08201 BP *111.04421*, RT 2.78437	758515	Counts	13981	17739			10968	14576	8756		8362	6727	14626	12237		22906	24500	16645				18119	34762		11377		11529	12922	10174	11314	9021	17045
UNKNOWN 08203 BP *436.30898*, RT 4.00847	758517	Counts		50951					33034				41698	56859				51519						6561			47858	38370	80521			
UNKNOWN 08205 BP *584.29169*, RT 4.02424	758519	Counts	165538	281201	211601	142969	98167	248098	240178	267827	119785	98502	25701	13414		78408	7530					21933	56963	66789	25412	110381	129006	97561	37876	19965	40947	
UNKNOWN 08212 BP *104.10734*, RT 4.04171	758526	Counts		44149	14413	74013				27285							27164	8541	5075			23894			39316	12843	9393				13333	
UNKNOWN 08215 BP *1035.63839*, RT 4.05951	758529	Counts	75597	120277	216863	60398		112348	66037	145921	73160	154465	275951	167989	92445	125210	248321	103817	136790	147632			130183	94149	46843	118025	126898	193234	108566	433816		248762
UNKNOWN 08216 BP *572.29217*, RT 4.06236	758530	Counts	32193	28236	43394		18653	24659		8388		8384				40771		26736		7323				8232	5923		25028		15723		13663	20568
UNKNOWN 08217 BP *504.30452*, RT 4.0616	758531	Counts	55408	67764		54884		59486	33917	58947	38730	43373	23401	43889	36022	16214	42957			13191	42341	25580			35795		96212	63336		37154	40826	13198
UNKNOWN 08220 BP *634.30734*, RT 4.07094	758534	Counts		10745	20453	24909		24702		17640	6592		6107									5593		9902					19237			
UNKNOWN 08222 BP *590.31991*, RT 4.07129	758536	Counts	88370	114142	103624		44190	205489	147828	140595	72179	49044				86549				25111		17374	53611		32759		99699			20098	55875	
UNKNOWN 08223 BP *566.32004*, RT 4.07753	758537	Counts	463498	477107	50909	292476	242060			452712	272856		24943	206135		337373	201978			229724	174422				68590			253608		152231	252179	
UNKNOWN 08228 BP *815.51164*, RT 4.10691	758542	Counts	5347482	4593025	5001107	3684692	4661980	5140488	5479253	4965719	3759444	5085018	5494634	5094213	4298526	5415411	4880206		4297727	4857175	4177434	4343210		5697649	4442309	4856617	5834489	5502657	2259522	2921650	2346467	6368460
UNKNOWN 08232 BP *771.48498*, RT 4.10988	758546	Counts	9221830	7709664	8235458	6310136	7588794	8798052	8553231	8127246	6996411	8424431	8968331	7639172	6941218	9026768	8019937	8450023	7207519	7809931	7194722	7152320	8653598	9591198	8606732	8129605	9637542	9385900	2926728	4536609	3672758	10684011
UNKNOWN 08233 BP *727.4586*, RT 4.1128	758547	Counts	12351258	11578937	12733072	9504008	11313711	13434280	13530380	12760359	9457148	11696775	12589202	12530449	10605950	14150183	12307565	13255781	11331378	12091707	10062405	10005907	13412922	14997123	11789293	12749742	15571430	14513304	5595700	6876357	5435300	16469966
UNKNOWN 08234 BP *463.30126*, RT 4.12137	758548	Counts	9422695	8329219	10177906	5069674	6843655	10293484	10779079	9635051	5907789	8896810	11437240	9968219	7048578	10725782	9383018	10215568	9382917	8356031	7729766	6799816	9915104	12639751	9217289	10456920	12873437	13800135	4230140	3937208	4454086	16421534
UNKNOWN 08235 BP *683.43234*, RT 4.11562	758549	Counts	17306649	16195125	17669851	12925011	15380874	18896081	19167608	18324652	12770381	17184279	17721914	17372074	14867901	20137521	16529128	18513730	15525177	16990125	13789140	13320826	19002613	21223643	16106351	18079663	22571272	19965819	8171430	9498789	8062558	23738990
