Local ID	Metabolite Name	Kegg ID	Units	S00010701	S00010702	S00010703	S00010704	S00010705	S00010706
775478	NONADECENOATE (*)	C00174	Counts	323495	126023	130602	334036	11074988	9813210
770967	NONANOATE	C01601	Counts	1043182	1414281	1741954	1634620	1338580	1430392
771366	O-ACETYL-L-CARNITINE	C02571	Counts		16436				24585
771025	O-ACETYL-L-SERINE	C00979	Counts					167076	81001
770862	O-PHOSPHO-DL-SERINE	CA1209	Counts	41487				647272	709445
771060	O-PHOSPHO-L-SERINE	C01005	Counts					233051	
771463	O-PHOSPHONOHEXOPYRANOSE	CA1494	Counts	3223503	731534	2182075	622848	799656	866350
771465	O-PHOSPHONOHEXOPYRANOSE	CA1494	Counts	130375	11451				
771279	O-SUCCINYL-L-HOMOSERINE	C01118	Counts	218679	33931	333974			
778157	OCTADECANEDIOATE (*)	M05359	Counts	378033		368050	323985	578600	1262069
