database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180928_QC_14	20180928_QC_13	20180928_QC_16	20180928_QC_15	20180928_R087	20180928_R120	20180928_R089	20180928_R083	20180928_R084	20180928_R085	20181002_QC_11	20180928_R086	20181002_QC_10	20180928_QC_18	20180928_QC_17	20180928_R080	20180928_R081	20180928_QC_19	20181002_QC_09	20180928_R098	20180928_R099	20180928_R095	20180928_R097	20180928_R090	20180928_R091	20180928_R092	20180928_R093	20180924_R042	20180924_R041	20180924_R044	20180924_R046	20180924_R045	20180924_R048	20180924_R047	20180924_R050	20180924_R020	20180924_R024	20180924_R023	20180924_R026	20180924_R025	20180924_R028	20180924_R029	20180924_QC_20	20180924_QC_21	20180924_R031	20180924_R030	20180924_R033	20180924_R032	20180924_R035	20180924_QC_17	20180924_R037	20180924_QC_18	20180924_QC_19	20180924_R039	20180924_R038	20180924_QC_13	20180924_QC_14	20180924_QC_15	20180924_QC_16	20180924_R001	20180928_R107	20180928_R108	20180928_R109	20180928_R069	20180928_R102	20180928_R103	20180928_R104	20180928_R105	20180928_R066	20180928_R067	20180928_R100	20180928_R068	20180928_R101	20180924_R004	20180928_R062	20180924_R006	20180928_R063	20180924_R005	20180928_R064	20180924_R008	20181002_R060	20180924_R007	20180924_R009	20181002_R061	20180924_R011	20180924_R010	20180924_R013	20180924_R012	20180928_R118	20180928_R119	20180928_R114	20180928_R115	20180928_QC_21	20180928_R076	20180928_QC_20	20181002_R056	20180928_R077	20180928_R110	20180928_QC_23	20180928_R078	20180928_R111	20180928_QC_22	20180928_R112	20180924_R015	20181002_R053	20180928_R072	20180924_R014	20181002_R052	20180928_R073	20180924_R017	20181002_R055	20180924_R016	20181002_R054	20180928_R075	20180924_R019	20180924_R018	20181002_R051	20180928_R070	20180928_R071
CHEBI:74099	C10H19NO3	CCCCCCCC(=O)NCC(O)=O	"InChI=1S/C10H19NO3/c1-2-3-4-5-6-7-9(12)11-8-10(13)14/h2-8H2,1H3,(H,11,12)(H,13,14)"	Capryloylglycine	236.1053687		M+Cl	1	1.139216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	43																																																																																																																										
CHEBI:73731	C20H36O2	CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O	"InChI=1S/C20H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10H,2-5,8,11-19H2,1H3,(H,21,22)/b7-6-,10-9-"	Eicosadienoic acid	329.2489277		M+Na-2H	1	1.102666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	41																																																																																																																										
CHEBI:88682	C11H14O7S	C=1(C=C(C=CC1)CC(CCC(O)=O)O)OS(=O)(=O)O	"InChI=1S/C11H14O7S/c12-9(4-5-11(13)14)6-8-2-1-3-10(7-8)18-19(15,16)17/h1-3,7,9,12H,4-6H2,(H,13,14)(H,15,16,17)"	4-Hydroxy-5-(3'-hydroxyphenyl)-valeric acid-3'-O-sulphate	311.0216229		M+Na-2H	1	11.12785	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.7																																																																																																																										
CHEBI:28592	C18H34O3	OC(CCCCCCC/C=C\C[C@@H](CCCCCC)O)=O	"InChI=1S/C18H34O3/c1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21/h9,12,17,19H,2-8,10-11,13-16H2,1H3,(H,20,21)/b12-9-/t17-/m1/s1"	Ricinoleic acid	297.2432965		"M-H, M+Na-2H"	1	1.120933333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.8																																																																																																																										
CHEBI:42504	C15H30O2	CCCCCCCCCCCCCCC(O)=O	"InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)"	Pentadecanoic acid	277.1811864		"M-H, M+Cl"	1	0.370383333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.2																																																																																																																										
CHEBI:27905	C6H6O4S	OS(=O)(=O)Oc1ccccc1	"InChI=1S/C6H6O4S/c7-11(8,9)10-6-4-2-1-3-5-6/h1-5H,(H,7,8,9)"	Phenol sulphate	172.9918339		M-H	1	0.750233333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.7																																																																																																																										
CHEBI:80550	C17H32O2	CCCCCCC\C=C\CCCCCCCC(O)=O	"InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h8-9H,2-7,10-16H2,1H3,(H,18,19)/b9-8+"	9E-Heptadecenoic acid	267.2325089		M-H	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.2																																																																																																																										
CHEBI:42504	C15H30O2	CCCCCCCCCCCCCCC(O)=O	"InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)"	Pentadecanoic acid	277.1811212		"M-H, M+Cl"	1	19.4819	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.5																																																																																																																										
CHEBI:74080	C17H23N3O3	CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	"InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)/t10-,14-,15-/m0/s1"	Isoleucyl-Tryptophan	298.1580567		M-H2O-H	1	0.867033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	37.8																																																																																																																										
CHEBI:63800	C10H13N3O	NC(=N)N1CC(O)c2ccccc2C1	"InChI=1S/C10H13N3O/c11-10(12)13-5-7-3-1-2-4-8(7)9(14)6-13/h1-4,9,14H,5-6H2,(H3,11,12)"	4-Hydroxydebrisoquine	236.1046807		M+FA-H	1	0.370383333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.9																																																																																																																										
